road_id,green,industrial,commercial
21638845_885308258_0,9.169742115647187,0.0,0.0
21638845_13175411896_0,1.024609608426275,0.0,0.0
21638865_30343650_0,0.0,0.0,0.0
21638867_1636238503_0,0.0,0.0,0.0
21638867_1403082237_0,0.0,0.0,0.0
21638867_30343414_0,0.0,0.0,0.0
21638868_30343649_0,0.0,0.0,0.0
21638868_30343654_0,0.0,0.0,0.0
21638869_30343672_0,0.0,0.0,0.0
21638869_242318729_0,0.0,0.0,0.0
21638869_30343583_0,0.0,0.0,0.0
21638874_3643971045_0,1.4601803424100037,0.0,0.0
21638874_2952200687_0,6.03445940834366,0.0,0.0
21638877_1636238506_0,0.0,0.0,0.0
21638877_30343573_0,0.0,0.0,0.0
21638878_30343394_0,0.0,0.0,0.0
21638878_242317164_0,0.0,0.0,0.0
21638882_1636238518_0,0.0,0.0,0.0
21638882_30343282_0,0.0,0.0,0.0
21638889_242284800_0,0.0,0.0,0.0
21638889_190987748_0,6.428097700567739,0.0,0.0
21638891_533663031_0,0.0,0.0,0.0
21638891_190971702_0,0.0,0.0,0.0
21638917_190981834_0,0.0,0.0,0.0
21638917_190985498_0,0.21469256898820419,0.0,0.0
21638918_8371290346_0,0.0,0.0,0.0
21638920_21638918_0,1.4509928018548564,0.0,0.0
21638921_2984928319_0,3.9694467268810727,0.0,0.0
21638921_21638920_0,3.531944779832415,0.0,0.0
21638922_21638921_0,3.920389360836407,0.0,0.0
21639537_4471971381_0,0.0,99.99999999999999,18.26407639570772
21639537_4471971376_0,0.0,99.99999999999997,17.37003995502782
21639537_4471971372_0,0.0,99.99999999999999,1.7988380763072802
26057050_178518958_0,0.0,0.0,5.936426252854897
26057050_168319807_0,0.0,0.0,0.0
26057076_190958411_0,4.70739704279573,0.0,0.0
26057076_9425413590_0,4.024897109502504,0.0,0.0
26057079_2984928288_0,0.0,0.0,0.0
26057079_1401592250_0,0.1845897054704287,0.0,0.0
26057116_1126640615_0,8.184312691481352,0.0,0.0
26057116_216350784_0,5.1300424055150895,0.0,0.0
26057125_26057304_0,0.055533196059212475,0.0,0.0
26057125_11466476297_0,0.7644029976398717,0.0,0.0
26057131_30254228_0,0.0,0.0,0.0
26057131_1362899977_0,0.15070401631006916,0.0,0.0
26057304_3218700096_0,0.0,0.0,0.0
26057304_8201874133_0,0.0,0.0,0.0
26057312_269369082_0,3.341205118059034,0.0,0.0
26057312_3229689808_0,3.3515501762738937,0.0,0.0
26057341_26057131_0,0.0,0.0,0.0
26057341_30242757_0,0.0,0.0,0.0
26057342_26057345_0,0.0,0.0,0.0
26057342_26057341_0,0.0,0.0,0.0
26057345_533662625_0,0.0,0.0,0.0
26057346_26057345_0,0.0,0.0,0.0
26057347_26057346_0,0.0,0.0,0.0
26057347_26057346_1,0.0,0.0,0.0
26057388_26057389_0,2.025857728693893,0.0,0.0
26057388_30238009_0,1.7985623193372575,0.0,0.0
26057389_559026424_0,1.6692285894029903,0.0,0.0
26057389_3314271774_0,3.5965352626637928,0.0,0.0
26198831_30685338_0,2.397595989532017,0.0,0.0
26198831_30246772_0,2.045217596023384,0.0,0.0
26198833_26198831_0,2.259716880865612,0.0,0.0
26198833_30246781_0,0.9372831989156002,0.0,0.0
26198844_2510589068_0,1.7147501260761688,0.0,0.0
26198844_30243042_0,1.6270612369750705,0.0,0.0
30227025_30227032_0,0.0,0.0,0.0
30227027_30227025_0,0.0,0.0,0.0
30227032_30227052_0,0.0,0.0,0.0
30227034_30227032_0,0.0,0.0,0.0
30227035_30227037_0,1.0148426020506172,0.0,0.0
30227035_30227468_0,5.4864394895975,0.0,0.0
30227048_30227049_0,0.0,0.0,0.0
30227048_192071165_0,0.0,0.0,0.0
30227050_13134439125_0,0.0,0.0,0.0
30227050_30227052_0,0.0,0.0,0.0
30227050_30227049_0,0.0,0.0,0.0
30227052_10266016765_0,0.0,0.0,0.0
30227068_30227050_0,0.0,0.0,0.0
30227068_3743057429_0,0.0,0.0,0.0
30227068_5306386384_0,0.0,0.0,0.0
30227131_30227132_0,0.0,0.0,0.0
30227131_30227139_0,0.0,0.0,0.0
30227131_30227159_0,0.0,0.0,0.0
30227132_30227133_0,0.32730699567160715,0.0,0.0
30227132_30227153_0,0.0,0.0,0.0
30227132_30227154_0,0.0,0.0,0.0
30227133_2264151290_0,1.0619726684824264,0.0,0.0
30227134_30227135_0,0.0,0.0,0.0
30227135_30227136_0,0.0,0.0,0.0
30227136_8246056358_0,0.0,0.0,0.0
30227136_30227137_0,0.0,0.0,0.0
30227137_30227231_0,0.0,0.0,0.0
30227139_30227160_0,0.0,0.0,0.0
30227139_30227131_0,0.0,0.0,0.0
30227139_30227136_0,0.0,0.0,0.0
30227153_30227132_0,0.0,0.0,0.0
30227153_30227158_0,0.0,0.0,0.0
30227154_30227132_0,0.0,0.0,0.0
30227154_2264151290_0,0.04043186624596527,0.0,0.0
30227156_30227157_0,0.0,0.0,0.0
30227156_30227151_0,0.0,0.0,0.0
30227157_30227158_0,0.0,0.0,0.0
30227157_30227156_0,0.0,0.0,0.0
30227157_30227134_0,0.0,0.0,0.0
30227158_30227157_0,0.0,0.0,0.0
30227158_30227159_0,0.0,0.0,0.0
30227158_30227134_0,0.0,0.0,0.0
30227159_30227131_0,0.0,0.0,0.0
30227159_30227158_0,0.0,0.0,0.0
30227159_30227135_0,0.0,0.0,0.0
30227160_30227139_0,0.0,0.0,0.0
30227160_30227233_0,0.0,0.0,0.0
30227192_112409079_0,0.0,0.0,0.0
30227192_112409083_0,1.0161484323302488,0.0,0.0
30227193_30227195_0,0.0,0.0,0.0
30227193_30227192_0,0.0,0.0,0.0
30227193_1374636541_0,0.0,0.0,0.0
30227195_30227196_0,0.0,0.0,0.0
30227195_30227157_0,0.0,0.0,0.0
30227196_30227133_0,0.46841464726672555,0.0,0.0
30227196_30227153_0,0.0,0.0,0.0
30227198_30884331_0,0.0,0.0,0.0
30227228_2327729219_0,6.684639229344396,0.0,0.0
30227228_12351352586_0,0.0,0.0,0.0
30227229_30227450_0,0.0,0.0,0.0
30227229_30227137_0,0.0,0.0,0.0
30227231_30227232_0,0.0,0.0,0.0
30227232_30227160_0,0.0,0.0,0.0
30227233_1400544022_0,0.0,0.0,0.0
30227233_30227154_0,0.0,0.0,0.0
30227390_112398908_0,7.081596805596605,0.0,0.0
30227391_30227402_0,0.0,0.0,0.0
30227391_3587720087_0,6.359421613693995,0.0,0.0
30227391_30227390_0,3.785180046682177,0.0,0.0
30227450_2327729212_0,0.0,0.0,0.0
30227468_30884331_0,0.0039635583691354295,0.0,0.0
30227468_5306386378_0,0.002950709290199829,0.0,0.0
30227487_431107481_0,0.0,0.0,0.0
30227487_30647222_0,0.0,0.0,0.0
30227489_2529520245_0,0.0,0.0,0.0
