road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
13859746870_13859746860_0,2,2,2,5,213.0932328340164,512.2086891143904,1110.052348799323,188.3551794415404,0.0,385.612797986199,0.053298348734513,0.0,0.1065966974690261,50.0,3.9005962311248696e-05,0.0001865502737317,1.7165634588652042e-05,0.8077561149570895,3.3492774252826494,0.0,0.0
13798851565_8465472214_0,2,2,1,5,549.5294517864227,1655.7915837491705,2110.5304342112686,351.77737780191296,0.0,117.66932396836388,0.0,0.0142735656641013,0.0,20.006115337917823,0.0002241147467503,0.0001094502868116,3.5897712451840007e-06,0.7413683357117458,0.0,0.0,0.0
4538123419_13734642240_0,3,3,3,3,904.1185210777048,947.1548171594928,0.0,167.02662878118747,0.0,19.81022209787965,0.1673073764890381,0.0,0.2954843054098039,50.0,0.0104516890435642,0.0001817485018126,1.7704973790175536e-05,0.8313271892614849,8.619238142920212,0.0,0.0
13845167536_847716886_0,2,2,1,5,1877.6035263924875,419.2875976187287,661.5873751936828,10.597441035565724,0.0,41.36565453239333,0.0,0.0124530605388761,0.0024906121077752,16.759462197874363,0.004427415329308,0.0002151346913665,9.205671579101016e-06,0.7571716781876316,4.346695289733554,0.0,0.0
13845167536_253790691_0,2,2,2,5,1872.1775061730216,614.3538970639484,967.7464600259476,0.0,0.0,49.1095618866568,0.0,0.0535129983168081,0.0,50.0,0.0037349778695792,0.0002080566610463,6.329341999614902e-06,0.7368051882006148,25.16964119799167,0.0,0.0
13859746847_13859746858_0,2,2,2,5,230.46113593721063,500.4432132020533,1128.7753678508077,207.8222876431988,0.0,402.2705145792745,0.0761086157988678,0.0,0.1522172315977357,50.0,0.0004052802368669,0.000186463376687,1.733075974441968e-05,0.8065148663418573,7.944880070315769,0.0,0.0
13859746849_627782660_0,2,2,2,5,252.5016643972789,464.0744396421003,1149.3542058265189,192.0343372082439,0.0,362.7872460408128,0.0433973696522766,0.0,0.0,50.0,0.0009418445464967,0.0001863316331741,1.5224484020443715e-05,0.8022429585240651,10.383405380003268,0.0,0.0
13859746849_13859746858_0,2,2,2,5,230.46113593721063,498.4305582889145,1130.439274877078,207.8222876431988,0.0,395.7525222052779,0.0447002694632171,0.0,0.0894005389264342,50.0,0.0003124746794038,0.0001863776498449,1.6867150837040852e-05,0.8053316225477835,8.043215497515055,0.0,0.0
4538123419_4834501656_0,3,3,3,5,896.5320992711737,963.9387647688276,0.0,190.7666432159332,0.0,19.822265365290235,0.1673073764890381,0.0,0.3752567055653265,50.0,0.0027131120765121,0.0001817665606456,1.7951509938861284e-05,0.8324416396675585,4.635368775465048,0.0,0.0
13859746854_13859746849_0,2,2,2,5,234.55628530049404,498.4305582889145,1127.6613897443715,207.4601735849721,0.0,395.7525222052779,0.04557436719432,0.0,0.04557436719432,50.0,0.000706201315071,0.0001865193999007,1.6636589156505782e-05,0.8055145132426129,6.663638036527477,0.0,0.0
21638865_30343650_0,1,1,0,6,1420.2278963115266,2300.048236592293,675.7212856605581,192.97497402294616,0.0,0.0,0.0,0.0,0.4273687468542714,15.135908461328164,0.0002241147467503,0.0001612909741125,3.136210620040383e-05,0.8222063879523833,0.0,0.0,0.0
21638867_1636238503_0,2,2,2,4,1375.7925028266966,2086.739199910319,465.1567935951809,0.0,0.0,90.49415575247696,0.0635578873834973,0.0,0.2542315495339894,18.154329736865552,0.0025289828365226,0.0001680073476969,4.823961656866754e-05,0.8310578404430868,0.0,0.0,0.0
21638867_1403082237_0,3,3,2,4,1390.8240799083217,2094.1885480986143,469.1678496883196,0.0,0.0,75.0471849485997,0.06486237782103,0.0,0.1945871334630902,20.15862017456821,0.002415807777814,0.0001676346652214,4.9778978205760754e-05,0.8299783907409757,0.0,0.0,0.0
